user_prompt,response
Can you give me a quote for 50 steel pipes?,quote_request
How much would it cost to order 200 bricks?,quote_request
What’s the price for 10 gallons of paint?,quote_request
Can I get a quote for bulk orders of safety helmets?,quote_request
How much is a shipment of 500 bolts?,quote_request
What’s the price for 20 office chairs?,quote_request
Can you provide a quote for 100 LED light bulbs?,quote_request
I need pricing on 300 feet of electrical wire.,quote_request
What’s the cost of 50 wooden pallets?,quote_request
Can I get a quote for a set of kitchen appliances?,quote_request
What would 30 laptops cost?,quote_request
How much for 500 sheets of drywall?,quote_request
Can you quote me on 20 air conditioners?,quote_request
"I’m interested in a quote for 1,000 screws.",quote_request
How much is a pallet of cement?,quote_request
What’s the price for 50 toolboxes?,quote_request
Can I get a price for 20 welding machines?,quote_request
What’s the cost of 100 ergonomic chairs?,quote_request
Can you provide pricing for 500 fence panels?,quote_request
How much would it be for 300 pounds of nails?,quote_request
What’s the price for 25 refrigerators?,quote_request
Can I get a quote for 40 gas stoves?,quote_request
What’s the cost of a bulk order of 500 tiles?,quote_request
How much for 100 fire extinguishers?,quote_request
What’s the price for 30 washing machines?,quote_request
Can you provide a quote for 60 printers?,quote_request
"What would it cost to buy 1,000 pencils?",quote_request
Can I get pricing for 200 backpacks?,quote_request
What’s the price for a 500-foot garden hose?,quote_request
How much for 20 LED monitors?,quote_request
Can you quote me on 10 electric drills?,quote_request
What’s the cost of 100 wooden chairs?,quote_request
Can I get a price for 50 dining tables?,quote_request
"How much would it be for 1,000 plastic cups?",quote_request
What’s the price for 40 handheld vacuum cleaners?,quote_request
Can you provide pricing for 300 rolls of tape?,quote_request
What’s the cost of 200 gallons of motor oil?,quote_request
Can I get a quote for 20 server racks?,quote_request
"How much is a 1,000-pound shipment of flour?",quote_request
What’s the price for 50 industrial fans?,quote_request
Can you quote me on 10 conference tables?,quote_request
What’s the cost of 200 calculators?,quote_request
Can I get a price for 50 soccer balls?,quote_request
How much for 20 shipping containers?,quote_request
What’s the price for 100 basketballs?,quote_request
Can you provide a quote for 200 steel beams?,quote_request
What would it cost to buy 50 car batteries?,quote_request
"Can I get pricing for 1,000 ballpoint pens?",quote_request
What’s the price for a bulk order of 300 notebooks?,quote_request
How much for 50 coffee machines?,quote_request
Can you quote me on 20 forklifts?,quote_request
What’s the cost of 100 industrial gloves?,quote_request
Can I get a price for 50 hard hats?,quote_request
What’s the price for 200 packs of paper towels?,quote_request
"How much would it be for 1,000 plastic spoons?",quote_request
What’s the cost of 50 electric saws?,quote_request
Can you provide a quote for 100 smoke detectors?,quote_request
How much for 20 water dispensers?,quote_request
What’s the price for 10 high-pressure washers?,quote_request
Can I get pricing for 200 electric fans?,quote_request
What’s the price for a 500-foot roll of fabric?,quote_request
How much for 50 office desks?,quote_request
Can you quote me on 20 standing desks?,quote_request
What’s the cost of 200 rubber gloves?,quote_request
How much would it cost to order 50 extension cords?,quote_request
Can you provide pricing for 10 pressure cookers?,quote_request
What’s the price for 300 safety vests?,quote_request
How much for 100 tool belts?,quote_request
Can I get a quote for 30 barcode scanners?,quote_request
What’s the cost of 500 AA batteries?,quote_request
Can you quote me on 20 3D printers?,quote_request
How much for 100 steel cables?,quote_request
"What’s the price for 1,000 wooden spoons?",quote_request
Can I get pricing for 10 commercial ovens?,quote_request
What’s the cost of 200 printer cartridges?,quote_request
How much would it be for 50 whiteboards?,quote_request
Can you provide a quote for 300 ceiling tiles?,quote_request
What’s the price for 20 dehumidifiers?,quote_request
How much for 100 bags of cement?,quote_request
Can I get a quote for 500 paper clips?,quote_request
What’s the cost of 200 PVC pipes?,quote_request
Can you quote me on 50 air compressors?,quote_request
How much for 10 welding torches?,quote_request
"What’s the price for 1,000 coffee cups?",quote_request
Can I get pricing for 20 laser cutters?,quote_request
What’s the cost of 200 screwdrivers?,quote_request
How much for 50 light fixtures?,quote_request
Can you provide a quote for 300 sandbags?,quote_request
What’s the price for 100 pairs of work boots?,quote_request
How much for 20 industrial ladders?,quote_request
"Can I get a quote for 1,000 paper envelopes?",quote_request
What’s the cost of 200 safety goggles?,quote_request
Can you quote me on 50 power generators?,quote_request
How much for 10 shipping crates?,quote_request
What’s the price for 500 bags of fertilizer?,quote_request
Can you provide a quote for 100 solar panels?,quote_request
What’s the price for 20 electric scooters?,quote_request
How much would it cost for 500 yards of fabric?,quote_request
Can I get a quote for 50 gallons of paint?,quote_request
What’s the cost of a bulk order of 100 desks?,quote_request
Can you quote me on 30 power tools?,quote_request
"How much for 1,000 disposable gloves?",quote_request
What’s the price for 200 face masks?,quote_request
Can I get a price for 50 water bottles?,quote_request
What would 300 batteries cost?,quote_request
How much is a shipment of 20 lawnmowers?,quote_request
Can you provide pricing for 500 LED bulbs?,quote_request
"What’s the cost of 1,000 plastic bags?",quote_request
How much would it be for 50 security cameras?,quote_request
Can I get a quote for 200 fire alarms?,quote_request
What’s the price for a bulk order of 100 helmets?,quote_request
How much for 500 meters of copper wire?,quote_request
Can you quote me on 30 pairs of hiking boots?,quote_request
What’s the cost of 200 light fixtures?,quote_request
How much would it be for 20 vending machines?,quote_request
Can you provide a quote for 50 air purifiers?,quote_request
"What’s the price for 1,000 paper plates?",quote_request
How much for 100 pounds of fertilizer?,quote_request
Can I get a price for 20 electric heaters?,quote_request
What would 500 pencils cost?,quote_request
"How much for 1,000 business cards?",quote_request
Can you quote me on 50 computer monitors?,quote_request
What’s the price for a bulk order of 100 toolboxes?,quote_request
How much would it cost for 200 storage bins?,quote_request
Can I get pricing for 50 hand sanitizers?,quote_request
What’s the cost of 10 power drills?,quote_request
"How much for 1,000 lanyards?",quote_request
Can you provide a quote for 20 servers?,quote_request
What’s the price for 500 mouse pads?,quote_request
How much would it be for 30 electric fans?,quote_request
Can I get a price for 200 flash drives?,quote_request
What would 300 staplers cost?,quote_request
How much for 50 garden hoses?,quote_request
Can you quote me on 20 projectors?,quote_request
"What’s the cost of 1,000 plastic utensils?",quote_request
How much would it be for 100 metal pipes?,quote_request
Can you provide pricing for 50 electric ovens?,quote_request
What’s the price for 20 air conditioners?,quote_request
"How much for 1,000 paper napkins?",quote_request
Can I get a quote for 500 face shields?,quote_request
What’s the cost of 200 cable ties?,quote_request
How much would it be for 50 car jacks?,quote_request
Can you provide a quote for 30 wireless routers?,quote_request
"What’s the price for 1,000 packing boxes?",quote_request
How much for 100 pounds of sugar?,quote_request
Can I get a price for 50 industrial vacuums?,quote_request
What would 300 safety goggles cost?,quote_request
How much for 20 electric bicycles?,quote_request
"Can you quote me on 1,000 file folders?",quote_request
What’s the cost of 200 clipboards?,quote_request
How much would it be for 50 water heaters?,quote_request
Can I get a quote for 30 photocopiers?,quote_request
"What’s the price for 1,000 envelopes?",quote_request
How much for 500 coffee mugs?,quote_request
Can you provide a quote for 20 sewing machines?,quote_request
What’s the cost of 200 plastic trays?,quote_request
How much would it be for 50 portable chargers?,quote_request
Can I get a price for 300 earbuds?,quote_request
What would 500 markers cost?,quote_request
How much for 100 pairs of scissors?,quote_request
Can you quote me on 50 mobile phones?,quote_request
"What’s the cost of 1,000 keychains?",quote_request
How much would it be for 200 yoga mats?,quote_request
Can you provide pricing for 20 gym treadmills?,quote_request
What’s the price for 500 rolls of plastic wrap?,quote_request
How much for 30 high-end laptops?,quote_request
Can I get a quote for 200 wireless keyboards?,quote_request
"What’s the cost of 1,000 plastic containers?",quote_request
How much would it be for 100 LED projectors?,quote_request
Can you provide a quote for 50 power generators?,quote_request
"What’s the price for 1,000 plastic cups?",quote_request
How much for 200 shipping pallets?,quote_request
Can I get a price for 20 industrial freezers?,quote_request
What would 500 earplugs cost?,quote_request
"How much for 1,000 sheets of paper?",quote_request
Can you quote me on 50 electric grills?,quote_request
What’s the cost of 20 conference tables?,quote_request
How much would it be for 100 chairs?,quote_request
"Can you provide pricing for 1,000 stickers?",quote_request
